"BANCO DE CREDITO DEL PERU","PRIMA AFP S.A.","CREDICORP LTD.",2007-01-01,"A la actualidad"
"CCR INC.","PRIMA AFP S.A.","CREDICORP LTD.",2007-01-01,"A la actualidad"
"CONTINENTAL SOCIEDAD TITULIZADORA S.A.","AFP HORIZONTE S.A.","GRUPO BBVA",2000-07-11,2013-04-23
"CREDICORP CAPITAL SOCIEDAD TITULIZADORA S.A.","PRIMA AFP S.A.","CREDICORP LTD.",2007-01-01,"A la actualidad"
"CREDICORP LTD.","PRIMA AFP S.A.","CREDICORP LTD.",2007-01-01,"A la actualidad"
"CREDISCOTIA FINANCIERA S.A.","PROFUTURO AFP","THE BANK OF NOVA SCOTIA",2008-07-17,"A la actualidad"
"CREDITO LEASING S.A.","PRIMA AFP S.A.","CREDICORP LTD.",2007-01-01,2009-07-01
"EDYFICAR PERU S.A.","PRIMA AFP S.A.","CREDICORP LTD.",2009-10-21,"A la actualidad"
"MIBANCO BANCO DE LA MICROEMPRESA S.A.","PRIMA AFP S.A.","CREDICORP LTD.",2014-03-26,"A la actualidad"
"SCOTIA SOCIEDAD TITULIZADORA S.A.","PROFUTURO AFP","THE BANK OF NOVA SCOTIA",2008-06-23,"A la actualidad"
"SCOTIABANK PERU S.A.A.","PROFUTURO AFP","THE BANK OF NOVA SCOTIA",2008-06-23,"A la actualidad"
"SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.","PRIMA AFP S.A.","CREDICORP LTD.",2007-01-01,"A la actualidad"
